disease	efo_iri
body mass index (bmi) >30 kg/m2	EFO_0001073
antisocial behavior	N/A
lutein	EFO_0003839
primary sclerosing cholangitis and ulcerative colitis	EFO_0004268
"liver function test: alkaline phosphatase (alp), alanine aminotransferase (alt), aspartate aminotransferase (ast), gamma-glutamyl transferase (ggt)"	EFO_0001421
cognitive decline (age-related)	N/A
birdshot chorioretinopathy	HP_0012424
asparaginase hypersensitivity in acute lymphoblastic leukemia	EFO_0003785
response to vitamin e supplementation	N/A
systemic sclerosis (anti-topoisomerase-i antibody negative)	EFO_0000717
hair color (blond verus brown)	EFO_0003924
information processing speed (digit symbol)	EFO_0003925
appendicular lean mass-femoral neck cross-sectional area bivariate association	EFO_0003882
triptolide cytotoxicity	N/A
height z-score change (sd/y) in children	N/A
serum albumin	EFO_0005803
lipid traits	N/A
cancer onset at younger age	EFO_0000616
cholecystitis	HP_0001082
response to tocilizumab for the treatment of rheumatoid arthritis (change in health assessment questionnaire score) in rf- individuals	N/A
c12/c10	N/A
neuranatomic and neurocognitive phenotypes	Orphanet_3071
appendicular lean mass-femoral neck section modulus bivariate association	EFO_0003882
blood trace element (se levels)	EFO_1001067
susceptibility to cytomegalovirus infection	EFO_0001062
type 2 diabetes in lean individuals (bmi<25 kg/m2)	EFO_0001360
drug-induced liver injury-all dili cases with diclofenac as the implicated drug	EFO_0004228
pc1 principal components analysis of performance on cambridge neuropsychological test automated battery	EFO_0003925
thyroiditis	HP_0100646
hypertriglyceridemia in bexarotene treatment of advanced non-small cell lung cancer	EFO_0000000
metabolic syndrome in subjects without diabetes	N/A
qrs interval	HP_0001657
head circumference (cm) in children	N/A
perioperative myocardial infarction in coronary artery bypass surgery	EFO_0000612
methylation near ccl3l3 in cerebellum	GO_0006306
plasminogen activator inhibitor-1 (pai-1) concentration	N/A
"mean cell volume (mcv), mean cell hemoglobin (mch), hemoglobin (hgb), mean cell hemoglobin concentration (mchc), hematocrit (hct),"	EFO_0005803
osteoporosis	EFO_0003882
lineage and molecular subtypes in patients with childhood acute lymphoblastic leukemia relapse	EFO_0000220
childhood dental caries (sufficient flouride group)	EFO_0003819
amyotrophic lateral sclerosis (als)	EFO_0000253
visceral adipose tissue area (vat)	N/A
circulating igfbp-3 concentrations	GO_0008283
"rheumatoid arthritis, combined control dataset"	EFO_0000685
emphysema (in chronic obstructive pulmonary disease patients)	N/A
otitis media (chronic/recurrent)	EFO_0004992
macular degeneration	EFO_0001365
"lung function, maximal expiration flow at 25% forced vital capactiy (fvc)"	EFO_0003818
schizophrenia or bipolar disorder	EFO_0000692
response to methylphenidate treatment in attention-deficit/hyperactivity disorder (blood pressure)	N/A
5-fluorouracil-induced neutropenia/leukopenia in cancer patients	N/A
aggressive periodontitis	EFO_0000649
glaucoma (high pressure glaucoma)	EFO_0000516
hepatitis b virus (hbv) clearance	EFO_0004197
gait variability	N/A
antidepressant efficacy in major depressive disorder improvement after 2 weeks of treatment	N/A
tetra-antennary glycans	GO_0070085
hearing at 8khz	N/A
allergic rhinitis (vs. clean controls)	N/A
oleic acid (18:1n-9) plasma levels	N/A
narcolepsy (in hla-drb1*1501-positive individuals)	EFO_0000614
eosinophil counts	HP_0001880
multiple sclerosis (age of onset)	EFO_0003885
corneal astigmatism	HP_0000539
serum prostate-specific antigen (psa)	EFO_0000673
adiponectin (ng/ml) in children	N/A
optic nerve measurement (rim area)	N/A
serum ige levels	EFO_0003785
serum metabolism	N/A
osteoprotegerin levels	N/A
response to ziprasidone on vigilance in schizophrenia patients	N/A
left hand digit ratio (length of index:ring fingers)	N/A
ldl cholesterol lipoprotein fraction concentration in fasting sample	N/A
lupus anticoagulant	EFO_0002689
esophageal squamous cell carcinoma (esophageal cancer) in nondrinkers	EFO_1000055
serum ferritin levels	N/A
metabolite levels (mhpg)	EFO_0000618
age-related macular degeneration (extreme sampling)	EFO_0001365
"hair, eye and skin pigmentation"	N/A
hippocampal grey matter volume	EFO_0005772
"type 2 diabetes, hypertension, coronary artery disease (cad), combined case analysis, gender differentiated"	EFO_1000896
e. coli	N/A
allergic rhinitis	N/A
fasting insulin in high bmi subjects	N/A
type 2 diabetic nephropathy	EFO_0000401
composite episodic memory score	N/A
sleep duration (min/d) in children	N/A
other paralytic syndromes	HP_0003470
c3/c4	N/A
sasang constitution (taeum)	N/A
vldl cholesterol medium lipoprotein fraction concentration in fasting sample	N/A
self-employment	N/A
major depressive disorder (recurrent early onset <30 years)	EFO_0003761
serum creatinine estimated glomerular filtration rate (egfr) age >65	HP_0000083
biploar disorder (bipolar schizoaffective disorder)	EFO_0000289
multiple sclerosis (progressive multiple sclerosis)	EFO_0003885
glioma	EFO_0000326
presence of any cardioembolic source	EFO_0003763
benign neoplasm of eye	EFO_0000616
heart rate variability - tp - total power	HP_0001649
hdl cholesterol mean particle size lipoprotein fraction concentration	N/A
end-of-induction minimal residual disease (pediatric acute lymphoblastic leukemia treatment)	N/A
stage 2 exercise heart rate	HP_0001649
"successful aging (age >80, cognitively intact, no significant depressive symptoms, high physical function by self-report, lower extremity function, satisfied with life)"	GO_0007568
platelet rich plasma (prp) adp-lta 8 um	N/A
angiographic coronary artery disease (cad)	EFO_0000378
ventricular fibrillation during acute myocardial infarction (mi) (late onset)	EFO_0004287
ankylosing spondylitis (hla-b27 positive)	EFO_0003898
hepatitis c virus-induced hepatocellular carcinoma	EFO_0000182
"diabetic retinopathy in type 2 diabetes mellitus, etdrs grade>=14"	EFO_0003770
social autistic-like traits	EFO_0003758
entorhinal cortical volume	N/A
immune response to measles-mumps-rubella vaccine	N/A
soluble cd14	N/A
2 hour insulin	EFO_0002614
increased intraocular pressure	EFO_0000516
rate of hiv-1 progression to clinical aids	EFO_0000764
urethral hypermobility/isd	N/A
leukocyte count in patients with childhood acute lymphoblastic leukemia relapse	EFO_0000220
ldl cholesterol lipoprotein fraction concentration	N/A
drug-resistant infection	N/A
skin freckles	EFO_0003963
gastric adenocarcinoma (histologically verified)	EFO_0003897
glp-1-stimulated insulin secretion during hyperglycemic clamps	EFO_0002614
biploar disorder (bipolar ii disorder)	EFO_0000289
end-stage renal disease in type 1 diabetes	EFO_0003884
antidepressant response in major depressive disorder	N/A
hdl cholesterol lipoprotein fraction concentration	N/A
colorectal cancer	EFO_0000365
malaria	EFO_0001068
amyotrophic lateral sclerosis (als) with n=7-23 c9orf72 hexanucleotide repeats	EFO_0000253
weight in type 2 diabetes	EFO_0001073
cisplatin-induced neutropenia/leukopenia in cancer patients	N/A
plasma plasminogen levels	HP_0004936
partial epilepsies	EFO_0004263
mood disorder and prion disease	N/A
abdominal aortic aneurysm	EFO_0004214
arm subcutaneous adipose in antiretroviral-treated hiv-1 infected men	N/A
caffeine consumption	EFO_0004315
openness among centenarians	N/A
non-hodgkin lymphoma (follicular lymphoma)	EFO_0000096
spine bone size	EFO_0003882
mean bilateral hippocampal volume (excluding patients with neuropsychiatric disorders)	N/A
breast size (bra cup size in women)	N/A
antennary fucosylated glycans	GO_0070085
activated protein c resistance	N/A
prion diseases	N/A
change in depression severity with serotonin reuptake inhibitors (sri)	N/A
endothelial function traits	EFO_0004264
schizophrenia (in multiplex schizophrenia pedigrees)	EFO_0000692
acquired deformities of finger	N/A
diffuse-type gastric cancer	EFO_0003897
response to antipsychotic treatment	N/A
"coronary artery disease (cad), combined control dataset"	EFO_0000378
oxaliplatin induced mucositis in response to colorectal cancer treatment	EFO_0000000
neuropathic pain in type 2 diabetes	EFO_0005762
type 2 diabetes (males)	EFO_0001360
development of antibodies to interferon-? therapy in multiple sclerosis	EFO_0005140
brachial circumference (male)	EFO_0003914
clustering coefficient of l-isthmus of the cingulate	N/A
iron deficiency	HP_0001891
body mass index (bmi) (adjusted for alcohol intake)	EFO_0001073
coronary artery calcification (cac)	HP_0004934
lung adenocarcinoma	EFO_0001071
stroke (pediatric)	EFO_0000712
serum bilirubin levels	HP_0002904
25-hydroxy vitamin d concentrations (<75 nmol/l)	EFO_0003762
congenital anomalies of genital organs	HP_0000119
menopause with early age of onset (<45 years)	N/A
political ideology	N/A
hidradenitis	N/A
response to antipsychotic treatment in schizophrenia (reasoning)	N/A
aging (time to event)	GO_0007568
ldl cholesterol mean size lipoprotein fraction concentration in fasting sample	N/A
umbilical hernia	HP_0001537
personality test (tpqrd) in attention deficit-hyperactivity disorder (adhd)	EFO_0003888
anorexia nervosa	EFO_0004215
c4b binding protein levels	HP_0004936
methotrexate plasma clearance (24-hour infusion of a 1 g/m2 dose or 4-hour infusion of a 2 g/m2 dose) in children with acute lymphoblastic leukemia (all)	EFO_0000000
alzheimer's disease biomarkers	EFO_0000249
eur students <30 colorword	EFO_0003925
cramp of limb	HP_0003394
early reading ability	N/A
platelet thrombus formation	HP_0004936
ldl cholesterol response after 40mg daily simvastatin treatment	N/A
recurrent early onset major depressive disorder (broad definition)	EFO_0003761
diastolic blood pressure (dbp) (female)	EFO_0000537
metabolic side effects to antipsychotic drugs (perphenazine effect on triglycerides)	N/A
noise-induced hearing loss	N/A
phenytoin-induced hypersensitivity	EFO_0000000
chronic obstructive pulmonary disease (moderate to severe)	EFO_0000341
end-stage renal disease in type 1 diabetics	EFO_0003884
food allergy	N/A
arthropathy associated with other disorders classified elsewhere	EFO_0005856
lung cancer (non-small cell lung cancer) in never smokers	EFO_0003060
"red blood cell count (rbc) (10^12/l, log)"	HP_0001873
glycated hemoglobin (hba1c)	EFO_0000400
immune reponse to smallpox (secreted ifn-alpha)	N/A
wrist bone mineral density (bmd)	N/A
plasma homocysteine	EFO_0003914
retinopathy in nondiabetics without hypertension	EFO_0003839
age-related nuclear cataracts	EFO_0001059
bilirubin levels (females)	HP_0002904
body mass index (bmi) (longitudinal genotype main effect)	EFO_0001073
response to methotrexate in rheumatoid arthritis	N/A
internal carotid artery thickness (far walls)	EFO_0003781
"bone thickness, bone strength, osteoporotic fracture risk"	N/A
meningococcal disease	EFO_0004249
periodontitis (cdc/aap)	EFO_0000649
triglycerides by nmr lipoprotein fraction	N/A
fasting serum free triiodothyronine (t3) (pg/ml) in children	N/A
puberty onset (genital enlargement)	HP_0000823
lumbar spine bone mineral density (bmd) (premenopausal)	N/A
platelet aggregation in response to epinephrine ec50/10um	N/A
diisocyanate-induced asthma	N/A
drug-induced liver injury-all dili cases with a non-steroidal anti-inflammatory drug	EFO_0004228
episodic memory	N/A
hepatocellular carcinoma in patients with chronic hepatitis b virus infection	EFO_0000182
cystatin c	HP_0000083
colon cancer	EFO_0004288
t(12;21)/etv6-runx1 acute lymphoblastic leukemia	EFO_0000220
aspirin exacerbated respiratory disease in asthmatics	HP_0012042
bone mineral density (bmd)	N/A
age-related macular degeneration in never smokers	EFO_0001365
imprinting effects on cleft lip	EFO_0003959
factor x antigen	Orphanet_328
spatial span	EFO_0003925
generalized vitiligo with concomitant other autoimmune disorder	EFO_0004208
triglycerides change with statins	EFO_0004211
fractional exhaled nitric oxide (childhood)	EFO_0007257
left ventricular diastolic dimensions (lv diastolic dimensions)	EFO_0003896
second to fourth digit length ratio (left hand)	N/A
mean arterial pressure (alcohol consumption interaction)	EFO_0000537
factor vii clotting activity	Orphanet_327
response to anti-tnf therapy in patients with rheumatoid arthritis (change in 28-joint count disease activity score)	N/A
"triglycerides, ln"	EFO_0004211
abnormal electrocardiogram	EFO_0004269
cleft lip	EFO_0003959
serum creatinine estimated glomerular filtration rate (egfr) age <65	HP_0000083
other abnormal blood chemistry	N/A
personality traits in bipolar disorder	EFO_0000289
waist height ratio squared	N/A
vldl cholesterol total lipoprotein fraction concentration in fasting sample	N/A
barrett's esophagus	EFO_0000280
newborn sum of skinfolds (sqrt mm)	N/A
iga nephropathy	EFO_0004194
plasma cancer antigen 19-9 (ca19-9) levels	N/A
ocular axial length	HP_0000545
squamous cell carcinoma	EFO_1000055
breast cancer (brca2-positive)	EFO_0000305
adolescent idiopathic scoliosis (severe)	EFO_0004273
cisplatin-induced apoptosis	N/A
red blood cell traits (combined)	EFO_0005803
forced expiratory volume in 1 second (fev1) (in never smokers)	EFO_0003818
follicle stimulating hormone (fsh)	HP_0008222
dupuytren's disease	EFO_0004229
"mean cell hemoglobin (mch), mean cell volume (mcv), hemoglobin (hgb), basophil count, mean cell hemoglobin concentration (mchc), hematocrit (hct), lymphocyte count"	EFO_0005803
information processing speed (4-choice reaction time)	EFO_0003925
homa-b	EFO_0002614
alopecia areata	EFO_0004192
skin pigmentation	EFO_0003784
normoxic and mild-hypoxic adaptation in populations residing at low and moderate altitudes	N/A
iron status biomarkers (transferrin saturation)	N/A
serum arylesterase activity	N/A
systemic lupus erythematosus	EFO_0002690
"beta-thalassemia/hemoglobin e disease (absolute fetal hemoglobin (hb), g/dl)"	Orphanet_848
benign neoplasm of uterus	EFO_0000616
androgenetic alopecia early age of onset	Orphanet_79364
lumiracoxib-related liver injury (measured by elevated liver enzymes)	EFO_0004228
alpha-carotene plasma levels	EFO_0005878
attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)	EFO_0003888
sleep latency	N/A
alcohol behavior (heaviest period max drinks)	EFO_0003829
ldl cholesterol response to statins (absolute change in ldl cholesterol)	N/A
human short-term memory	N/A
circulating c-reactive protein (crp)	N/A
neuritic plaque	HP_0100256
glycan peak 1 in men	GO_0070085
treatment-refractory schizophrenia	EFO_0000692
cerebrospinal ab1-42 levels	EFO_0000249
other nonmalignant breast conditions	N/A
osteoarthritis (males)	EFO_0002506
plasma lipoprotein a (lp(a)) in type 2 diabetes	HP_0010980
methylation near myoz3 in cerebellum	GO_0006306
serum c-reactive protein	N/A
"hip geometry, shaft width"	EFO_0003882
non-obstructive azoospermia	EFO_0000279
fasting serum thyroid stimulating hormone (tsh) (uiu/ml) in children	N/A
hematology traits	EFO_0005803
iron status biomarkers (transferrin levels)	N/A
blood glucose in serum	N/A
ascending aortic dissection	N/A
secreted ifn-gamma response to smallpox vaccine	N/A
body mass index (bmi) in type 2 diabetes	EFO_0001073
psoriasis (type 1)	EFO_0000676
endoxifen sentivity (5 um)	N/A
hypertensive chronic kidney disease	N/A
plasma beta-2 microglobulin levels	N/A
breast cancer early age of onset	EFO_0000305
il10 in plasma	GO_0006954
ankle-brachial index	EFO_0003914
alanine aminotransferase (alt)/aspartate aminotransferase (ast) (in children)	N/A
brain structure (hippocampal volume)	N/A
paired associates learning total errors 6 patterns	EFO_0003925
homa-ir	EFO_0002614
renal osteodystrophy	EFO_1001152
"nicotine dependence (smoking), quantity (males)"	EFO_0003768
inflammatory biomarkers in kawasaki disease	EFO_0004246
mean autosomal methylation rate by principal components	GO_0006306
lung cancer (females)	EFO_0001071
general white matter integrity factor	HP_0002352
fibrinogen levels	EFO_0000341
inflammatory bowel disease	EFO_0003767
eur students <30 digit span forward	EFO_0003925
"dinner intake, adj eer (kcal) in children"	N/A
heart rate with age>12	HP_0001649
non-albumin protein levels	EFO_0005803
progression free survival in metastatic colorectal cancer (capox-b vs capox-b plus cetuximab)	N/A
hallux valgus (bunion)	HP_0001822
economic and political preferences (time)	N/A
aspartate aminotransferase (ast) in nonalcoholic fatty liver disease	EFO_0003095
survival after esophageal squamous-cell carcinoma (esophageal cancer)	N/A
marginal zone lymphoma	EFO_1000630
cerebrospinal ab1-42 levels in alzheimer's disease dementia	EFO_0000249
"lung cancer, age <=50"	EFO_0001071
stroke (all types)	EFO_0000712
allergic dermatitis (nickel)	N/A
eye color (chs1)	EFO_0003949
prostate cancer (gene x gene interaction)	EFO_0000673
motor outcome in parkinson's disease	EFO_0002508
sasang constitutional medicine type (so-eum)	N/A
incident coronary heart disease (chd)	EFO_0001645
platelet aggregation in response to adp ec50/2um	N/A
diabetes mellitus	EFO_0000400
esophageal cancer and gastric cancer	EFO_0002916
"rheumatoid arthritis, gender differentiated"	EFO_0000685
age of onset of myopia	HP_0000545
"amyotrophic lateral sclerosis (als), female gender differentiated"	EFO_0000253
white matter microstructure (global fractional anisotropy)	HP_0002352
allergic sensitization	EFO_0003785
nicotine dependence	EFO_0003768
immunoglobulin gamma (igg) index in multiple sclerosis	HP_0002961
platelet response with aspirin and clopidogrel	N/A
cerebral white matter hyperintensities burden	HP_0002352
personality dimensions	HP_0012075
other hypertrophic and atrophic conditions of skin	N/A
"lung cancer (non-small cell lung cancer), survival in early stage"	N/A
acquired hemolytic anemias	HP_0001878
acute insulin response to glucose	EFO_0002614
ige grass sensitization	N/A
medically refractory ulcerative colitis	EFO_0000729
autism spectrum disorder	EFO_0003758
lipid levels	N/A
gastritis and duodenitis	EFO_0000337
odorant perception (isobutyraldehyde)	HP_0000458
antithrombin	N/A
lung cancer (males)	EFO_0001071
venous thromboembolism (vte)	EFO_0004286
elevated serum carcinoembryonic antigen levels	EFO_0004288
diastolic blood pressure	EFO_0000537
intertrochanter bone mineral density (bmd)	N/A
response to fenofibrate (adiponectin levels)	N/A
grave's disease	EFO_0004237
urinary symptoms following radiotherapy for prostate cancer 3-4yrs	EFO_0000000
schizophrenia (males)	EFO_0000692
distal colon cancer	EFO_0004288
fasting proinsulin levels in non-diabetics	EFO_0002614
narcolepsy (non-hla narcolepsy)	EFO_0000614
vitamin d insufficiency	EFO_0003762
drug-induced liver injury-all dili cases with a macrolide antibiotic implicated	EFO_0004228
response to tocilizumab for the treatment of rheumatoid arthritis (change in tender joint count) in rf individuals	N/A
sudden cardiac death	EFO_0004278
cardiac structure and function	EFO_0003777
"type 1 diabetes, rheumatoid arthritis, combined case analysis, gender differentiated"	EFO_0000540
brain microstructure and intellectual performance	EFO_0003925
breast cancer (progesterone receptor negative breast cancer)	EFO_0000305
rheumatoid arthritis (acpa-positive)	EFO_0000685
"blood pressure, cvd rf and other traits (body mass index (bmi), waist:hip ratio, renin activity in plasma, aldosterone concentration in plasma, bnp levels in plasma, alcohol consumption)"	N/A
dna methylation (variation)	GO_0006306
subcutaneous adipose tissue (abdominal)	EFO_0001073
platelet rich plasma (prp) platelet adp	N/A
vldl cholesterol mean particle size lipoprotein fraction concentration in fasting sample	N/A
cerivastatin-associated rhabdomyolysis (no gemfibrozil use)	EFO_0000000
"lung function, predicted forced expiratory flow (fef)"	EFO_0003818
basophils	EFO_0005803
immunoglobulin g antibody to protective antigen response to anthrax vaccine adsorbed	N/A
metabolic syndrome	EFO_0000195
gestational diabetes mellitus	HP_0009800
imprinting effects on cleft lip and cleft palate	HP_0000153
heart rate variability traits	HP_0001649
obstruction of bile duct	HP_0001396
retinal disorders	EFO_0003839
weight	EFO_0001073
folate pathway vitamins	EFO_0005878
symptoms involving respiratory system	N/A
lentiform nucleus volume	N/A
major depressive disorder and bipolar disorder combined analysis	EFO_0003761
crohn's disease and psoriasis	EFO_0005140
central corneal thickness (average)	EFO_0000516
cardiac muscle measurement	EFO_0002503
total bilirubin levels in hiv-1 infection	HP_0002904
plasma stearic acid	N/A
impacted cerumen	EFO_1001455
pc aa c40:3/pc aa c42:5  concentration	N/A
neutrophil count	HP_0001875
cancer of kidney and renal pelvis	EFO_0003865
parasitemia in tripanosoma cruzi seropositivity	EFO_0001067
childhood acute lymphoblastic leukemia	EFO_0000220
serum paraoxonase activity	N/A
methicillin sensitive staphylococcus aureus	EFO_0000000
protein biomarker	N/A
treatment outcomes for selective serotonin reuptake inhibitors (ssris) - remission at 8 weeks	N/A
hyperbilirubinemia	HP_0002904
alcohol	EFO_0004329
heart failure	EFO_0003144
"type 2 diabetes, combined control dataset, gender differentiated"	EFO_0001360
leukocyte telomere length in women	N/A
pit-and-fissure surface caries in permanent dentition	EFO_0003819
patient global impression scale of severity with risperidone treatment of schizophrenia	EFO_0000692
"platelet aggregation to adp post-aspirin adjusted for pre-aspirin, in african ancestry"	HP_0004936
stressful life events	N/A
epworth sleepiness scale score	N/A
inflammatory bowel disease (early onset)	EFO_0003767
coronary artery disease (cad) age >50	EFO_0000378
lumbar disc degeneration	HP_0008419
febrile seizures (mmr vaccine-related)	HP_0002373
abnormal weight gain	MP_0001260
dementia with cerebral degenerations	EFO_0003096
il18	EFO_0000540
helix rolling	N/A
decrease in fev1 (in asthmatic ever smokers)	EFO_0000270
renal function and chronic kidney disease	EFO_0003884
waist hip ratio in type 2 diabetes	N/A
qt interval (qtc interval)	HP_0001657
gastric cancer (non-cardia gastric cancer)	EFO_0003897
factor vii	Orphanet_327
low fractional excretion of uric acid and/or gout	EFO_0004274
total conduct disorder symptoms (mother's warmth as environmental variable)	EFO_0004216
sudden cardiac arrest	EFO_0004278
pca3 score in patients with a negative prostate biopsy	EFO_0000673
vogt-koyanagi-harada syndrome	Orphanet_3437
brown vs. non-brown hair color	EFO_0003924
hematological and biochemical traits	EFO_0005803
alpha linolenic acid	N/A
stroke early age of onset	EFO_0000712
immune reponse to smallpox (secreted il-10)	N/A
peptic ulcer	HP_0004398
testosterone levels	EFO_0001379
morningness	N/A
upper aerodigestive tract cancers	EFO_0004284
hearing at 250hz	N/A
"vitamin d concentrations (1,25-dihydroxy vitamin d concentrations)"	EFO_0003762
urinary free dopamine (nmol/d) in children	N/A
psoriasis & related disorders	EFO_0000676
suicidal ideation or attempt	EFO_0004321
response to chemotherapy in breast cancer (hypertension) (bevacizumab)	N/A
eye color (saturation)	EFO_0003949
eur students <30 digit symbol	EFO_0003925
common variable immunodeficiency (nodular regenerative hyperplasia of the liver)	Orphanet_1572
hair color (blond versus brown)	EFO_0003924
methylation near gckr in cerebellum	GO_0006306
urate levels	EFO_0004274
age at menarche and femoral neck bone buckling ratio	HP_0000823
"longevity, survival to age >=90 years versus survival to age 55-80 years"	EFO_0004300
circulating vitamin e levels (circulating alpha-tocopherol concentrations)	HP_0100513
male infertility	EFO_0004248
factor vii levels	Orphanet_327
height (females)	EFO_0004339
frontotemporal lobar degeneration with tdp-43 inclusions	EFO_0003096
circulating estradiol levels	EFO_0001379
fasting plasma glucose (after exclusion of subjects with fg levels >=7 mmol/l)	N/A
hair color (blond versus black)	EFO_0003924
total ifn-gamma response to smallpox vaccine	N/A
metabolite levels  (x-11787)	EFO_0003144
alcohol behavior (frequency of heavy drinking)	EFO_0003829
protein (kg/y) in children	N/A
clozapine-induced agranulocytosis	EFO_0000000
chronic pancreatitis	EFO_0000342
wilms' tumor	EFO_1000056
response to tnf-alpha inhibitors in rheumatoid arthritis	N/A
central corneal thickness	EFO_0000516
weight loss after gastric bypass surgery	HP_0001824
erythrocyte count	EFO_0004272
plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	N/A
gastric ulcer	HP_0002592
beta-carotene plasma levels	EFO_0005878
acquisition of natural influenza post-vaccination	EFO_0000000
methamphetamine dependence	EFO_0004701
economic preferences (time)	N/A
"lung function, forced expiratory volume in 1 second (fev1)"	EFO_0003818
psychosis (methamphetamine induced)	EFO_1000902
body mass index (bmi) (study year x genotype interaction)	EFO_0001073
"bipolar disorder, gender differentiated"	EFO_0000289
appendicular lean mass-femoral neck periosteal diameter bivariate association	EFO_0003882
eating disorders	N/A
adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)	EFO_0000000
ovarian follicle number and menopause	N/A
entorhinal cortical thickness (alzheimer's disease interaction)	N/A
percent body fat (male)	EFO_0001073
ejection fraction in tripanosoma cruzi seropositivity	EFO_0003777
"type 1 diabetes, combined control dataset"	EFO_0001359
vldl cholesterol mean size lipoprotein fraction concentration in fasting sample	N/A
response to anti-retroviral therapy (ddi/d4t) in hiv-1 infection (grade 2 peripheral neuropathy)	N/A
caudate volume (right caudate)	N/A
forearm fracture	EFO_0003931
"lung function, ratio of forced expiratory volume in 1 second (fev1) to forced vital capacity (fvc) (fev1/fvc) ratio percent predicted (in nonasthmatic participants)"	EFO_0003818
taste change in healthy volunteers in response to topiramate treatment (less sweet)	EFO_0000000
total attention deficit/hyperactivity disorder (adhd) sympotoms (mother's critcism as environmental variable)	EFO_0003888
lump or mass in breast	N/A
bone mineral density (hip)	N/A
morphine dose requirement in tonsillectomy and adenoidectomy surgery	EFO_0000000
"brain mri, temporal brain volume"	N/A
insect bite	N/A
serum phytosterol (campesterol normalized to cholesterol)	N/A
"myocardial infarction (mi), sudden cardiac death"	EFO_0000612
effects of radiation nos	EFO_0000000
female sexual dysfunction (lubrication)	EFO_0004714
smoking cessation in chronic obstructive pulmonary disease	EFO_0003768
frontotemporal lobar degeneration with tdp-43 inclusions (grn mutation negative)	EFO_0003096
femoral bone neck length	EFO_0003882
echocardiographic traits	EFO_0003777
neurofibrillary tangles	N/A
metabolic syndrome domains (pro-thrombotic state)	EFO_0000195
survival in glioblastoma following treatment	N/A
response to taxane treatment (placlitaxel)	N/A
hyperlipidemia	EFO_0003774
estimated total intracranial volume (excluding patients with neuropsychiatric disorders)	N/A
age of onset of childhood asthma	EFO_0000270
trichophyton tonsurans susceptibility	EFO_0007510
tardive dyskinesia	EFO_0004280
response to interferon beta therapy	N/A
mean platelet volume (mpv)	N/A
cognitive performance	EFO_0003925
food antigen igg levels	N/A
intracranial aneurysm	EFO_0003870
drug-induced liver injury-all hepatocellular dili case	EFO_0004228
atrial fibrillation & flutter	EFO_0000275
bilirubin levels	HP_0002904
response to methotrexate in juvenile idiopathic arthritis	N/A
spirochetal infection	N/A
sickle cell anemia (haemolysis)	Orphanet_232
functional mri	EFO_0000289
serum phytosterol (brassicasterol normalized to cholesterol)	N/A
diabetes (gestational)	HP_0009800
glioblastoma	EFO_0000519
attention deficit hyperactivity disorder	EFO_0003888
skin total naphthyl-keratin adduct (nka) levels in workers exposed to naphthalene	EFO_0000000
non-alcoholic fatty liver disease histology (other)	EFO_0003095
"lung function, ratio of forced expiratory volume in 1 second (fev1) to forced vital capacity (fvc) (fev1/fvc) ratio percent predicted (in asthmatic participants)"	EFO_0003818
anxiety and major depressive disorder	EFO_0003761
"lung cancer, age > 50"	EFO_0001071
prothrombin time by inr (international normalized ratio)	N/A
white blood cell types	Orphanet_2442
total serum ige	EFO_0003785
nondissection ascending aortic aneurysm	HP_0002617
serum testosterone (t) level	EFO_0001379
major depressive disorder (female)	EFO_0003761
develomental delays and disorders	EFO_0003852
negative cognition (anxiety related behavioral questionnaire) in children	EFO_0006788
quantitative traits	N/A
economic and political preferences (feminism/equality)	N/A
drug-induced liver injury-all dili cases with the combination antibiotic sulfamethoxazole/trimethoprim implicated	EFO_0004228
ventricular dysfunction after primary coronary artery bypass graft (cabg) surgery	N/A
hip circumference	EFO_0001073
anti-mullerian hormone levels	HP_0008222
stroke (small vessel stroke)	N/A
congenital coagulation defects	N/A
femoral neck areal bone mineral density (bmd)	N/A
colorectal cancer (females)	EFO_0000365
left ventricular internal diameter	EFO_0003777
coronary artery disease (cad) with myocardial infarction (mi)	EFO_0000378
"platelet aggregation to adp:epinephrine post-aspirin, in african ancestry"	HP_0004936
asthma (with atopy)	EFO_0000270
"cancer (lung cancer, non-cardia gastric cancer, or esophageal squamous-cell carcinoma)"	EFO_0000616
intracranial aneurysm (female)	EFO_0003870
body mass index in non-asthmatics	EFO_0001073
"breast cancer risk (estrogen receptor, progesterone receptor and her2 negative)"	EFO_0000305
obesity in adult survivors of childhood cancer not exposed to cranial radiation	EFO_0001073
urinary obstruction	N/A
myocardial infarction (mi) early age of onset	EFO_0000612
nevirapine-induced rash	EFO_0000000
butyrylcholinesterase levels	EFO_0000589
disorders of mineral metabolism	EFO_0000589
dyslexia (mismatch negativity (188-300 ms))	EFO_0005424
urinary metabolites (h-nmr features)	N/A
age at menarche	HP_0000823
coronary spasm	EFO_0004225
proinsulin levels	EFO_0002614
fasting serum leptin (ng/ml) in children	N/A
personal history of allergy to medicinal agents	EFO_0000000
optic nerve measurement (disc area)	N/A
hdl cholesterol (adjusted for alcohol intake)	N/A
docetaxel-induced neutropenia/leukopenia in cancer patients	N/A
conotruncal heart defects	N/A
response to platinum-based chemotherapy (carboplatin)	N/A
smoking behavior	EFO_0003768
response to mtor inhibitor (everolimus)	N/A
